Metric 1,Metric 2,Correlation,State
Deaths Change (%),Population Change (%),-0.279611411231147,Iowa
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.5540587508312562,Iowa
Population Change (%),Deaths Change (%),-0.279611411231147,Iowa
Population Change (%),Crude Rate Change (%),-0.29061161111125167,Iowa
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.02756811717981911,Iowa
Crude Rate Change (%),Population Change (%),-0.29061161111125167,Iowa
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.5806677512174073,Iowa
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.5540587508312562,Iowa
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),-0.02756811717981911,Iowa
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.5806677512174073,Iowa
Deaths Change (%),Population Change (%),-0.059665048509733865,Kansas
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.0983126396447213,Kansas
Population Change (%),Deaths Change (%),-0.059665048509733865,Kansas
Population Change (%),Crude Rate Change (%),-0.07777666754969181,Kansas
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.3613394581953666,Kansas
Crude Rate Change (%),Population Change (%),-0.07777666754969181,Kansas
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.06978010521769576,Kansas
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.0983126396447213,Kansas
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.3613394581953666,Kansas
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.06978010521769576,Kansas
Deaths Change (%),Population Change (%),0.08787623953286944,Kentucky
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.5965639771522444,Kentucky
Population Change (%),Deaths Change (%),0.08787623953286944,Kentucky
Population Change (%),Crude Rate Change (%),0.0844142261896034,Kentucky
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.7145817314353241,Kentucky
Crude Rate Change (%),Population Change (%),0.0844142261896034,Kentucky
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.5946243924624041,Kentucky
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.5965639771522444,Kentucky
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.7145817314353241,Kentucky
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.5946243924624041,Kentucky
Deaths Change (%),Population Change (%),-0.08535074032182934,Louisiana
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.07359274248071701,Louisiana
Population Change (%),Deaths Change (%),-0.08535074032182934,Louisiana
Population Change (%),Crude Rate Change (%),-0.16215900677560255,Louisiana
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.17752829336618553,Louisiana
Crude Rate Change (%),Population Change (%),-0.16215900677560255,Louisiana
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.05490816720893641,Louisiana
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.07359274248071701,Louisiana
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),-0.17752829336618553,Louisiana
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.05490816720893641,Louisiana
Deaths Change (%),Population Change (%),0.4327858143176708,Maine
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.13640473527442545,Maine
Population Change (%),Deaths Change (%),0.4327858143176708,Maine
Population Change (%),Crude Rate Change (%),0.41774383605619203,Maine
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.5367093923835531,Maine
Crude Rate Change (%),Population Change (%),0.41774383605619203,Maine
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.1456840679539893,Maine
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),-0.13640473527442545,Maine
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.5367093923835531,Maine
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),-0.1456840679539893,Maine
Deaths Change (%),Population Change (%),0.06604796020769581,Maryland
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.5802609809754306,Maryland
Population Change (%),Deaths Change (%),0.06604796020769581,Maryland
Population Change (%),Crude Rate Change (%),0.039652635878455175,Maryland
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.11696380650293821,Maryland
Crude Rate Change (%),Population Change (%),0.039652635878455175,Maryland
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.5886657445462685,Maryland
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),-0.5802609809754306,Maryland
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.11696380650293821,Maryland
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),-0.5886657445462685,Maryland
Deaths Change (%),Population Change (%),0.2961853064331761,Massachusetts
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.06892414886324835,Massachusetts
Population Change (%),Deaths Change (%),0.2961853064331761,Massachusetts
Population Change (%),Crude Rate Change (%),0.27992347001337586,Massachusetts
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.3679707662354333,Massachusetts
Crude Rate Change (%),Population Change (%),0.27992347001337586,Massachusetts
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.06026237905163191,Massachusetts
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),-0.06892414886324835,Massachusetts
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),-0.3679707662354333,Massachusetts
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),-0.06026237905163191,Massachusetts
Deaths Change (%),Population Change (%),0.25528254332330064,Michigan
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.03102453437974518,Michigan
Population Change (%),Deaths Change (%),0.25528254332330064,Michigan
Population Change (%),Crude Rate Change (%),0.23970529265586818,Michigan
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.004541079175262214,Michigan
Crude Rate Change (%),Population Change (%),0.23970529265586818,Michigan
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.03710009741650399,Michigan
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.03102453437974518,Michigan
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.004541079175262214,Michigan
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.03710009741650399,Michigan
Deaths Change (%),Population Change (%),0.7313852214410943,Minnesota
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.41978563132240115,Minnesota
Population Change (%),Deaths Change (%),0.7313852214410943,Minnesota
Population Change (%),Crude Rate Change (%),0.7091482699550798,Minnesota
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.47606471187824967,Minnesota
Crude Rate Change (%),Population Change (%),0.7091482699550798,Minnesota
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.40037787401284053,Minnesota
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.41978563132240115,Minnesota
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.47606471187824967,Minnesota
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.40037787401284053,Minnesota
Deaths Change (%),Population Change (%),-0.04202681260812368,Mississippi
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.2777955942833721,Mississippi
Population Change (%),Deaths Change (%),-0.04202681260812368,Mississippi
Population Change (%),Crude Rate Change (%),-0.09584417712724942,Mississippi
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.4602655095662582,Mississippi
Crude Rate Change (%),Population Change (%),-0.09584417712724942,Mississippi
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.28095559012068905,Mississippi
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.2777955942833721,Mississippi
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.4602655095662582,Mississippi
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.28095559012068905,Mississippi
Deaths Change (%),Population Change (%),0.27243758647616184,Missouri
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.14066454381332896,Missouri
Population Change (%),Deaths Change (%),0.27243758647616184,Missouri
Population Change (%),Crude Rate Change (%),0.23760977895337376,Missouri
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.7463371054869177,Missouri
Crude Rate Change (%),Population Change (%),0.23760977895337376,Missouri
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.11846577801255298,Missouri
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.14066454381332896,Missouri
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.7463371054869177,Missouri
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.11846577801255298,Missouri
Deaths Change (%),Population Change (%),0.20481452844370115,Montana
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.22300089563349323,Montana
Population Change (%),Deaths Change (%),0.20481452844370115,Montana
Population Change (%),Crude Rate Change (%),0.1955875951685114,Montana
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.37990650962140304,Montana
Crude Rate Change (%),Population Change (%),0.1955875951685114,Montana
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.2223938748463668,Montana
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.22300089563349323,Montana
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.37990650962140304,Montana
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.2223938748463668,Montana
Deaths Change (%),Population Change (%),0.2898828719789476,Nebraska
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.005208368766020127,Nebraska
Population Change (%),Deaths Change (%),0.2898828719789476,Nebraska
Population Change (%),Crude Rate Change (%),0.4358632282192283,Nebraska
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.02446307438762742,Nebraska
Crude Rate Change (%),Population Change (%),0.4358632282192283,Nebraska
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.059864031089098685,Nebraska
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.005208368766020127,Nebraska
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),-0.02446307438762742,Nebraska
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),-0.059864031089098685,Nebraska
Deaths Change (%),Population Change (%),0.4306779410242527,Nevada
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.5126277238720057,Nevada
Population Change (%),Deaths Change (%),0.4306779410242527,Nevada
Population Change (%),Crude Rate Change (%),0.31904213185183666,Nevada
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.5669545927178575,Nevada
Crude Rate Change (%),Population Change (%),0.31904213185183666,Nevada
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.48034974628500043,Nevada
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.5126277238720057,Nevada
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.5669545927178575,Nevada
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),0.48034974628500043,Nevada
Deaths Change (%),Population Change (%),0.2046939451011967,New Hampshire
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.25439490166504775,New Hampshire
Population Change (%),Deaths Change (%),0.2046939451011967,New Hampshire
Population Change (%),Crude Rate Change (%),0.19136170967597457,New Hampshire
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.5503252178879958,New Hampshire
Crude Rate Change (%),Population Change (%),0.19136170967597457,New Hampshire
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.26037921806313546,New Hampshire
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),-0.25439490166504775,New Hampshire
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.5503252178879958,New Hampshire
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),-0.26037921806313546,New Hampshire
Deaths Change (%),Population Change (%),-0.030172130823094844,New Jersey
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.0006685964649545834,New Jersey
Population Change (%),Deaths Change (%),-0.030172130823094844,New Jersey
Population Change (%),Crude Rate Change (%),-0.029595601232953656,New Jersey
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.14936080387867115,New Jersey
Crude Rate Change (%),Population Change (%),-0.029595601232953656,New Jersey
Crude Rate Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.0019050679097830407,New Jersey
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Deaths Change (%),0.0006685964649545834,New Jersey
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Population Change (%),0.14936080387867115,New Jersey
Prescriptions Dispensed by US Retailers in that year (millions) Change (%),Crude Rate Change (%),-0.0019050679097830407,New Jersey
Deaths Change (%),Population Change (%),-0.16194043340638484,New Mexico
Deaths Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),-0.24008603509053894,New Mexico
Population Change (%),Deaths Change (%),-0.16194043340638484,New Mexico
Population Change (%),Crude Rate Change (%),-0.19525513875193062,New Mexico
Population Change (%),Prescriptions Dispensed by US Retailers in that year (millions) Change (%),0.64695348724823,New Mexico
Crude Rate Change (%),Population Change (%),-0.19525513875193062,New Mexico
